P09:episode_rewards,P01:episode_rewards,PMM:episode_rewards,fps,q_loss,episode_length,advantage_norm,explained_variance,grad_norm,model_prob_std,epoch_idx,policy_gradient_loss,frames,policy_entropy,policy_gradient_bias_correction,policy_loss,avg_q_retraced,avg_q_selected,rollout_prob_std
0.0,0.0,0.0,436,0.007411029625412387,0,0.11001841326554616,-27.2871124903361,0.17950969450206136,0.04504869170486927,1,-0.000384945572182005,7200,2.0769611477851866,-7.806200500818742e-11,-0.00038494563815068733,-0.041085650430371365,-0.04498611477514108,0.04504869307080905
0.0,0.0,0.0,206,0.0006432417244695898,0,0.036489124254633985,-147.4807730793953,0.03968357788344108,0.024932342767715453,2,0.00012006410100487605,14400,2.1438783526420595,0.0,0.00012006410100487605,-0.016599984218676884,-0.015906366550674043,0.024932342985024055
0.0,0.0,0.0,252,1.0266841256149443e-05,0,0.014417692398031553,-7.188112282752991,0.0026541060446549527,0.008658362630133828,3,5.316469475170986e-05,21600,2.1940849939982097,0.0,5.316469475170986e-05,-0.0017390596680343152,-0.0017878658341942354,0.008658362738788127
0.0,0.0,0.0,284,5.5503321315579036e-05,0,0.04944341188917557,-33.31886943181356,0.006130780025871514,0.01177255396420757,4,2.0067380531448484e-05,28800,2.1912421305974323,0.0,2.0067380531448484e-05,-0.00045914410450980845,-0.0003863834965159185,0.01177255396420757
0.0,0.0,0.0,294,1.607366119363481e-05,0,0.021500623443474372,-34.263294235865274,0.0026380010171009843,0.006665404094383121,5,-1.4479974644624842e-05,36000,2.195046854019165,0.0,-1.4479974644624842e-05,0.0005090092080839288,0.0004929645138569565,0.006665404032294949
0.0,0.0,0.0,306,2.484005939701698e-05,3324.8333333333335,0.035280460367600124,-19.67057638168335,0.0036561135289089886,0.008784908397744099,6,-1.1180582835853178e-05,43200,2.193742211659749,0.0,-1.1180582835853178e-05,0.0006995429561357014,0.0005682852466028028,0.008784908397744099
0.0,0.0,0.0,318,2.0303092924223163e-06,3324.8333333333335,0.007146362168714404,-32.329886229832965,0.0008591465511681012,0.005620009421060483,7,-4.468351204044059e-05,50400,2.1958669900894163,0.0,-4.468351204044059e-05,0.0014481003202187518,0.0014816249914777777,0.005620009483148654
0.0,0.0,0.0,330,2.553482595620456e-06,3324.8333333333335,0.007328292300614218,-13.25625335375468,0.0011244114480365045,0.007420395190517108,8,8.899678994112037e-06,57600,2.1948676427205402,0.0,8.899678994112037e-06,5.117708739514152e-06,-6.370527747397621e-06,0.0074203953457375365
0.0,0.0,0.0,340,1.6266672755212615e-05,3324.8333333333335,0.026621894026175142,-8.7427090326945,0.002321418645040763,0.007453286771972974,9,-3.164614743885371e-05,64800,2.1947643995285033,0.0,-3.164614743885371e-05,0.0010762131872373477,0.0010740181430264784,0.0074532866477966305
0.0,0.0,0.0,348,1.2197485318665713e-05,3324.8333333333335,0.02029360078740865,-18.997718811035156,0.0018683379015764364,0.006571023895715674,10,-2.5228445989948036e-05,72000,2.1952540397644045,0.0,-2.5228445989948036e-05,0.001244491611093205,0.0012925573051809636,0.006571023895715674
0.0,0.0,0.0,355,2.269922402812578e-05,3324.8333333333335,0.03801273641486962,-7.662872934341431,0.0030097065716092972,0.008198463404551149,11,-3.281836276679921e-05,79200,2.1943827231725055,0.0,-3.281836276679921e-05,0.0008886963027180172,0.0008209561487395452,0.008198463482161363
0.0,0.0,0.0,361,2.987190360196716e-06,3324.3333333333335,0.008380746515467764,-15.387001498540242,0.0007285809575547859,0.005270175915211439,12,-3.887734213397683e-05,86400,2.1960429112116495,0.0,-3.887734213397683e-05,0.0021697494938659172,0.002155330975074321,0.005270175946255525
0.0,0.0,0.0,367,9.302232896857277e-07,3324.3333333333335,0.005165298818610609,-27.752673880259195,0.000522044726894474,0.006142831826582551,13,-3.139506151607445e-05,93600,2.1956182797749837,0.0,-3.139506151607445e-05,0.0011498545153396358,0.001156576787858891,0.006142831811060508
0.0,0.0,0.0,371,9.775807531771838e-07,3324.3333333333335,0.0064084444505472975,-11.329662171999614,0.0006024479228907647,0.005135508300736546,14,-3.340604991990404e-05,100800,2.1961063385009765,0.0,-3.340604991990404e-05,0.001763765307259746,0.0017734532336665628,0.005135508393868804
