episode_length,explained_variance,grad_norm,policy_entropy,avg_q_retraced,epoch_idx,policy_gradient_bias_correction,avg_q_selected,fps,P09:episode_rewards,frames,q_loss,advantage_norm,PMM:episode_rewards,model_prob_std,P01:episode_rewards,policy_gradient_loss,policy_loss,rollout_prob_std
0,-14.93775757153829,0.06803100312782549,1.9689664920171102,-0.014168311391646664,1,-4.471350488940059e-12,-0.014107186052327355,429,0.0,7200,0.0017502577725584463,0.09351372284193833,0.0,0.07351028881967067,0.0,3.843535372804278e-05,3.843534596702132e-05,0.07351028869549434
0,-181.59567054112753,0.08512789880887203,1.9896287590265274,0.014103165241734435,2,-9.67696200948609e-12,0.015392785205040126,206,0.0,14400,0.0009340423945900511,0.04796300774129728,0.0,0.051344171694169445,0.0,4.620636555046076e-05,4.62063577894393e-05,0.051344172656536104
0,-13.339012622833252,0.0019388354766275138,2.190097181002299,-0.0033216538295770684,3,0.0,-0.0034426568308845162,251,0.0,21600,9.473345501949855e-06,0.016294894910727938,0.0,0.013384607279052337,0.0,6.451259268942522e-05,6.451259268942522e-05,0.013384607310096422
0,-44.99331078529358,0.005868366078234055,2.1838385502497357,-0.0020135923288762568,4,0.0,-0.001944563415357455,282,0.0,28800,6.397531330245934e-05,0.0474292394084235,0.0,0.017930314037948848,0.0,3.1231629426050254e-05,3.1231629426050254e-05,0.017930314565698307
0,-36.43429498672485,0.0024742261383088036,2.190223217010498,-0.0020711465670804805,5,0.0,-0.0019920417296816597,297,0.0,36000,1.989331579655603e-05,0.020294095917294423,0.0,0.01264654112358888,0.0,5.100245672717089e-05,5.100245672717089e-05,0.012646541216721137
3324.5833333333335,-18.701590220133465,0.003694742185597012,2.189087192217509,-0.0020796959346625955,6,0.0,-0.0022167964392186454,307,0.0,43200,3.386266625966527e-05,0.03323943627377351,0.0,0.013616968722393116,0.0,2.033578624226114e-05,2.033578624226114e-05,0.013616968784481287
3324.5833333333335,-23.374190044403075,0.0010517559339367063,2.1938750823338826,-0.0026759453496197237,7,0.0,-0.0027484091736065847,317,0.0,50400,3.2660496098439277e-06,0.00970977139659226,0.0,0.009000650544961294,0.0,6.590227646180817e-05,6.590227646180817e-05,0.009000650607049465
3324.5833333333335,-11.713382625579834,0.0004900520945064072,2.1942670981089276,-0.0018917916653056939,8,0.0,-0.0019107280881144107,327,0.0,57600,8.384325383303803e-07,0.005341157255073389,0.0,0.008548921098311742,0.0,3.5818898989721974e-05,3.5818898989721974e-05,0.008548921191443999
3324.5833333333335,-7.444371620814006,0.0021436741093100132,2.1916722774505617,-0.002272050191337864,9,0.0,-0.002143622260579529,336,0.0,64800,1.700906787694597e-05,0.02509721110885342,0.0,0.011354009310404459,0.0,5.335216107672143e-05,5.335216107672143e-05,0.011354009310404459
3324.5833333333335,-15.500834417343139,0.0014937904272766807,2.19340447584788,-0.00298454414975519,10,0.0,-0.002970240620197728,343,0.0,72000,1.0327105205950223e-05,0.01715346604275207,0.0,0.009313770833735665,0.0,6.119427603152871e-05,6.119427603152871e-05,0.009313770880301794
