epoch_idx,grad_norm,avg_q_selected,advantage_norm,PMM:episode_rewards,P01:episode_rewards,explained_variance,q_loss,policy_loss,policy_gradient_loss,avg_q_retraced,fps,rollout_prob_std,episode_length,model_prob_std,policy_gradient_bias_correction,frames,policy_entropy,P09:episode_rewards
1,0.06319579498919815,0.011325648101046682,0.0899151898920536,0.0,0.0,-21.135829305648805,0.0016159256834119636,6.136690086956756e-05,6.136690086956756e-05,0.01060782690377285,429,0.06984889494876066,0,0.06984889631470044,1.7565469911939858e-12,7200,2.005140483379364,0.0
2,0.3103997186381854,0.09061052855104208,0.08317237713684639,0.0,0.0,-213.17555589278538,0.006020583503989959,-0.00031890399841358883,-0.0003189043903451723,0.0889388784688587,204,0.09977841538687547,0,0.09977841513852279,3.8746181000327375e-10,14400,1.7737915605306624,0.0
3,0.004759038664596412,-0.006455377535894513,0.02078069265310963,0.0,0.0,-65.51206459999085,4.098372652758068e-05,6.889541922040128e-05,6.889541922040128e-05,-0.006426884994531671,250,0.013634231127798557,0,0.013634231283018987,0.0,21600,2.1852771520614622,0.0
4,0.004396440445699395,-0.009126439876854419,0.03740271028752128,0.0,0.0,-21.78555742899577,4.759085807866844e-05,0.00020326815623169145,0.00020326815623169145,-0.009016453164319198,284,0.010924501313517491,0,0.010924501220385234,0.0,28800,2.192385689417521,0.0
5,0.0021862829720323434,-0.008160030997047821,0.01955436257024606,0.0,0.0,-20.36683152516683,1.717882591947273e-05,0.00017960935195636315,0.00017960935195636315,-0.008123136187593142,302,0.0093638996904095,0,0.009363899876674017,0.0,36000,2.193673054377238,0.0
6,0.003202003844780035,-0.007470904259632031,0.028301369119435548,0.0,0.0,-15.890317630767822,2.366350645388593e-05,0.00021835759483413615,0.00021835759483413615,-0.007459102772797147,312,0.00866475327250858,3324.4166666666665,0.008664753194898367,0.0,43200,2.194060126940409,0.0
7,0.0023831278841736246,-0.004792932052320491,0.016312931881596646,0.0,0.0,-12.436358435948689,9.867592090510395e-06,0.00015024313130804028,0.00015024313130804028,-0.004664629022590816,322,0.012713355928038557,3324.4166666666665,0.012713356176391244,0.0,50400,2.185608681042989,0.0
8,0.002527554737658266,0.0014285568303118148,0.01724458954607447,0.0,0.0,-9.02821299235026,8.114851963606877e-06,-7.532287357510843e-05,-7.532287357510843e-05,0.001440401654690504,333,0.026419487921521066,3324.4166666666665,0.026419488123307626,0.0,57600,2.1632742404937746,0.0
9,0.0020299107311968893,-0.006315157655626536,0.023547712744524083,0.0,0.0,-11.270951016743977,1.574730850582758e-05,0.00013866932204109617,0.00013866932204109617,-0.006197734673817953,343,0.006458500726148486,3324.4166666666665,0.006458500633016229,0.0,64800,2.195450441042582,0.0
10,0.0015581519352800728,-0.00523438702027003,0.018386627454310654,0.0,0.0,-12.584225543340047,1.1131216130403724e-05,0.00011421133275604233,0.00011421133275604233,-0.005191154172644019,350,0.006588676183794936,3324.4166666666665,0.006588676028574506,0.0,72000,2.195432106653849,0.0
