avg_q_selected,rollout_prob_std,P09:episode_rewards,avg_q_retraced,policy_entropy,policy_gradient_bias_correction,frames,q_loss,advantage_norm,model_prob_std,policy_loss,explained_variance,P01:episode_rewards,epoch_idx,grad_norm,PMM:episode_rewards,episode_length,fps,policy_gradient_loss
0.005459575862429725,0.04630034690101941,0.0,0.005548696286859922,2.111853603521983,0.0,7200,0.0006146116783687223,0.09089644427100817,0.04630034777025382,5.489821167733074e-05,-10.005037720998128,0.0,1,0.03704884465671723,0.0,0,496,5.489821167733074e-05
0.09611766000287693,0.07174686125169198,0.0,0.09232905797349909,1.8841646964351335,-1.2743721355956695e-11,14400,0.014742931374106169,0.38675193196783464,0.07174685886129736,-0.002446153231073822,-308.30737042824427,0.0,2,0.4710864168544092,0.0,0,235,-0.0024461532204024176
-0.0022177024317594865,0.02873063161969185,0.0,-0.002037621890970816,2.1585275570551556,0.0,21600,2.1141317089738245e-05,0.010623736338069041,0.028730631805956364,4.822653090741369e-05,-81.79281361897786,0.0,3,0.0033980480599151036,0.0,0,295,4.822653090741369e-05
-0.0024327102544096607,0.02881832097967466,0.0,-0.002513288454307864,2.158690929412842,0.0,28800,4.525874621018981e-05,0.041989408200606704,0.028818320545057455,3.7994739735343804e-05,-23.069067160288494,0.0,4,0.004912671734423836,0.0,0,340,3.7994739735343804e-05
-0.0033930972722979883,0.028486439647773903,0.0,-0.003268103487789631,2.159202226003011,0.0,36000,1.6236089347406354e-05,0.018959159636870025,0.02848643952359756,6.924647717217643e-05,-15.564418029785156,0.0,5,0.0023306310737793096,0.0,0,370,6.924647717217643e-05
-0.0029756521068823832,0.027893420495092868,0.0,-0.0029036170182128746,2.161033034324646,0.0,43200,2.630258765824086e-05,0.03110125659344097,0.027893420681357382,6.303884959682668e-05,-23.998316303888956,0.0,6,0.003311078262428164,0.0,3324.5833333333335,366,6.303884959682668e-05
-0.0033048534959865114,0.02766204917182525,0.0,-0.003259322699159384,2.1610565106074016,0.0,50400,4.124278357645987e-06,0.006138515115405123,0.02766204923391342,7.307519639046708e-05,-51.73714141845703,0.0,7,0.001327265649830534,0.0,3324.5833333333335,354,7.307519639046708e-05
-0.001999505031077812,0.028073108444611233,0.0,-0.002006118876549105,2.1594827651977537,0.0,57600,4.875750907255375e-06,0.006415035373841723,0.028073109251757464,4.0996612748737484e-05,-33.78826320966085,0.0,8,0.0016129291082132896,0.0,3324.5833333333335,367,4.0996612748737484e-05
-0.0025930366983326772,0.026901210161546864,0.0,-0.002577043305306385,2.1634443839391073,0.0,64800,1.7631045962692346e-05,0.024815332035844524,0.02690121028572321,6.141158987702511e-05,-9.285462299982706,0.0,9,0.0023435230164440867,0.0,3324.5833333333335,379,6.141158987702511e-05
-0.00360430214398851,0.026407135650515556,0.0,-0.00367472639773041,2.1648457845052085,0.0,72000,1.2592664351511e-05,0.019334514951333405,0.0264071357746919,7.639969082144187e-05,-14.923737955093383,0.0,10,0.001946207352979,0.0,3324.5833333333335,391,7.639969082144187e-05
-0.0033146060421131553,0.02555686024328073,0.0,-0.0033333430299535395,2.167168553670247,0.0,79200,2.5010310988212344e-05,0.03665706214184562,0.02555685999492804,8.918761025900797e-05,-7.98616791566213,0.0,11,0.003392956353116706,0.0,3324.5833333333335,400,8.918761025900797e-05
-0.0033726986575250825,0.024614453439911206,0.0,-0.0033727080871661505,2.1694154262542726,0.0,86400,4.010717204513033e-06,0.00916734004082779,0.02461445356408755,6.698694342048839e-05,-18.86249631245931,0.0,12,0.0010017467926515971,0.0,3324.125,406,6.698694342048839e-05
