fps,grad_norm,model_prob_std,policy_entropy,PMM:episode_rewards,avg_q_retraced,advantage_norm,P09:episode_rewards,policy_gradient_bias_correction,P01:episode_rewards,q_loss,avg_q_selected,episode_length,epoch_idx,frames,policy_gradient_loss,rollout_prob_std,explained_variance,policy_loss
436,0.052156029787179516,0.07367985062301159,1.979885450998942,0.0,-0.018414736740912,0.08422550285855929,0.0,0.0,0.0,0.000741326962209617,-0.018662584402288,0,1,7200,9.176087082304699e-05,0.07367985074718793,-21.13552433649699,9.176087082304699e-05
209,1.2140205926378047,0.132225326821208,1.5240866330064213,0.0,-0.08963498386243979,1.2082735421136022,0.0,-2.3337282156223988e-09,0.0,0.03867293513588568,-0.08286749788870414,0,2,14400,-0.0064370767854294774,0.13222532880802948,-58.36343400279681,-0.006437079105853627
256,0.003946964554408341,0.022270872133473556,2.174213981628418,0.0,-0.012687105173245072,0.013280900133152803,0.0,0.0,0.0,2.1848636182160894e-05,-0.012888916193818052,0,3,21600,0.000416415885653502,0.0222708726922671,-33.32627288500468,0.000416415885653502
289,0.0054001452499881485,0.018280497379601003,2.183739733695984,0.0,-0.00423436634397755,0.03066153678422173,0.0,0.0,0.0,5.146847458187646e-05,-0.0041239101905375716,0,4,28800,5.524159754391652e-05,0.018280497379601003,-29.490890089670817,5.524159754391652e-05
305,0.00255889164476149,0.020684375365575155,2.1801792701085407,0.0,-0.00849778726696968,0.017536993728329738,0.0,0.0,0.0,2.0141630632982317e-05,-0.008525296261844536,0,5,36000,0.00020628519600904838,0.020684375427663326,-13.556523521741232,0.00020628519600904838
315,0.004289402843870214,0.018043423940738042,2.1842398325602215,0.0,-0.004966365204503139,0.026099975826218723,0.0,0.0,0.0,3.5213792565021625e-05,-0.004947877263960739,3323.9166666666665,6,43200,0.00012371864807694994,0.0180434238165617,-28.27939968109131,0.00012371864807694994
324,0.0017244245840184185,0.021739141518870988,2.1739004691441854,0.0,-0.01314146276563406,0.009545337377736966,0.0,0.0,0.0,6.622546622262841e-06,-0.013236874683449666,3323.9166666666665,7,50400,0.00015369018268150588,0.021739141394694645,-40.51799255212148,0.00015369018268150588
336,0.002106884843993085,0.03269786561528842,2.1472573280334473,0.0,-0.02862341863413652,0.01193298320285976,0.0,0.0,0.0,6.449112527207035e-06,-0.02898799527126054,3323.9166666666665,8,57600,0.0007348578122522061,0.03269786493231853,-27.70619768301646,0.0007348578122522061
346,0.002216027196742762,0.017174675253530343,2.185514982541402,0.0,-0.005196279388231536,0.020142455026507376,0.0,0.0,0.0,1.7289959077970708e-05,-0.005324786777297656,3323.9166666666665,9,64800,0.0001298493538646047,0.017174674881001314,-12.74046548207601,0.0001298493538646047
353,0.0016750286295382547,0.01730429378027717,2.185328396161397,0.0,-0.006185541798671087,0.015247659059241414,0.0,0.0,0.0,1.0920045732139745e-05,-0.006203592071930567,3323.9166666666665,10,72000,0.00011835402656288352,0.017304293718189,-11.357575257619223,0.00011835402656288352
360,0.002513662654545522,0.01587954998637239,2.1870821555455526,0.0,-0.004467525309883058,0.02629163855065902,0.0,0.0,0.0,1.9535139377542993e-05,-0.0044982397773613535,3323.9166666666665,11,79200,0.00010797559267909189,0.01587954998637239,-12.40151937007904,0.00010797559267909189
367,0.0013658034320277394,0.016151430209477742,2.1869238217671714,0.0,-0.004873452560665707,0.00864062790448467,0.0,0.0,0.0,5.8973052337781455e-06,-0.0049125599209219216,3324.5416666666665,12,86400,0.00012323639396830306,0.0161514300853014,-23.938355509440104,0.00012323639396830306
373,0.0013576122018315532,0.02952425442636013,2.1559595187505085,0.0,-0.024423983537902434,0.009283708191166322,0.0,0.0,0.0,4.153441356417412e-06,-0.024621242781480153,3324.5416666666665,13,93600,0.0004139298303925898,0.029524254923065502,-34.03658687671025,0.0004139298303925898
378,0.0010288003848197837,0.021165474876761438,2.1765854597091674,0.0,-0.010538414275894562,0.011060692835599184,0.0,0.0,0.0,3.536780047852517e-06,-0.01071689121114711,3324.5416666666665,14,100800,0.0003233933646697551,0.021165475063025952,-7.13641668955485,0.0003233933646697551
