fps,policy_gradient_loss,advantage_norm,rollout_prob_std,epoch_idx,policy_entropy,policy_gradient_bias_correction,policy_loss,avg_q_retraced,grad_norm,P09:episode_rewards,explained_variance,P01:episode_rewards,episode_length,frames,avg_q_selected,model_prob_std,q_loss,PMM:episode_rewards
435,0.00012280654130639352,0.06847555848459402,0.027350945336123308,1,2.1522359251976013,0.0,0.00012280654130639352,0.01423372533172369,0.04791047997677733,0.0,-16.137004121144614,0.0,0,7200,0.014285560480008523,0.027350945336123308,0.001407605703813412,0.0
203,-0.00013040086716197645,0.02660957109183073,0.016658903161684672,2,2.1856994231541953,0.0,-0.00013040086716197645,0.0042489760206080975,0.010235455986379212,0.0,-36.99082322120667,0.0,0,14400,0.004256853432646797,0.0166589030995965,7.017626510332775e-05,0.0
247,-4.549888811501053e-05,0.02877598013728857,0.011985371292879184,3,2.191266965866089,0.0,-4.549888811501053e-05,0.004216830343163262,0.0060779699875136185,0.0,-13.115964063008626,0.0,0,21600,0.004181032243650407,0.01198537132392327,3.5421016013970076e-05,0.0
274,-9.19622323939014e-05,0.06690985467284918,0.015851324827720722,4,2.1868499676386515,0.0,-9.19622323939014e-05,0.0034410382892626026,0.008495330438943393,0.0,-13.461763922373454,0.0,0,28800,0.0036662492202594876,0.015851324734588463,9.086143360642988e-05,0.0
287,1.3931745926735555e-05,0.028953414844969907,0.011760942110170921,5,2.1911300897598265,0.0,1.3931745926735555e-05,7.66418146668002e-05,0.003332125297617337,0.0,-10.355111153920491,0.0,0,36000,5.851502646692097e-05,0.011760942079126835,3.0344828345126493e-05,0.0
296,-4.567121793381072e-05,0.046058834375192724,0.014281917332361142,6,2.1883736133575438,0.0,-4.567121793381072e-05,0.00083897184037293,0.005342125562413895,0.0,-11.822844314575196,0.0,3324.8333333333335,43200,0.000764299719594419,0.014281917332361142,4.746124407120078e-05,0.0
307,1.781133529827154e-05,0.011231517993534605,0.010381832346320152,7,2.192882521947225,0.0,1.781133529827154e-05,-0.0010854336908475185,0.0015375406028829265,0.0,-16.680190658569337,0.0,3324.8333333333335,50400,-0.0010330496937967838,0.010381832222143809,5.935489442284355e-06,0.0
317,2.5849226828237683e-05,0.009528296270097296,0.01080359537154436,8,2.192488924662272,0.0,2.5849226828237683e-05,-0.0010956385269916306,0.0015111064279484567,0.0,-15.728627824783326,0.0,3324.8333333333335,57600,-0.0011338726263299273,0.010803595309456189,5.879513497575317e-06,0.0
326,1.5353212105158795e-05,0.031174635949234166,0.012022719470163186,9,2.1909922043482464,0.0,1.5353212105158795e-05,-0.0002492093510227278,0.0030926155894968614,0.0,-8.88737096786499,0.0,3324.8333333333335,64800,-0.00034585502095675716,0.012022719408075014,2.6010711970532914e-05,0.0
333,-1.1435723668758632e-05,0.023572580547382434,0.010371685773134232,10,2.1925291697184246,0.0,-1.1435723668758632e-05,-0.0002541415199326972,0.0023329820422401506,0.0,-6.100036271413168,0.0,3324.8333333333335,72000,-0.0003430489159654826,0.010371685804178318,1.5673348313309057e-05,0.0
338,-3.5411491270072776e-05,0.043506532271082206,0.013187433344622452,11,2.189863173166911,0.0,-3.5411491270072776e-05,0.001922035746004743,0.003952871355661506,0.0,-5.243273941675822,0.0,3324.8333333333335,79200,0.0018664912960957736,0.013187433344622452,2.8880740421755037e-05,0.0
