epoch_idx,explained_variance,PMM:episode_rewards,rollout_prob_std,avg_q_selected,policy_gradient_bias_correction,policy_loss,P09:episode_rewards,policy_gradient_loss,episode_length,P01:episode_rewards,frames,avg_q_retraced,fps,q_loss,advantage_norm,grad_norm,policy_entropy,model_prob_std
1,-4.836740922927857,0.0,0.024297151217857995,-0.009927146835252643,0.0,0.0005460287205096392,0.0,0.0005460287205096392,0,0.0,7200,-0.00952267631267508,404,0.00015103896924604973,0.08247001419464747,0.01058638907873621,2.172196396191915,0.02429715171456337
2,-5.17402393023173,0.0,0.023215249522278707,-0.007156310540934404,0.0,-2.2394182754699916e-05,0.0,-2.2394182754699916e-05,0,0.0,14400,-0.007821774226613343,312,0.0009949423652566717,0.10761409277717272,0.04508189031447839,2.16328870455424,0.02321525032942494
3,-5.385415744781494,0.0,0.00861518809882303,-0.0024379972950555385,0.0,7.313713701175099e-05,0.0,7.313713701175099e-05,0,0.0,21600,-0.0024253952239329615,339,2.225463842175183e-05,0.03824600595980883,0.002940328534032914,2.193977204958598,0.00861518836269776
4,-4.923705132802327,0.0,0.008643344525868695,-0.003909372872052093,0.0,-2.8504027928496118e-05,0.0,-2.8504027928496118e-05,0,0.0,28800,-0.004076612616578738,360,2.5730989257984523e-05,0.048636540894707044,0.002835621045495784,2.1940682411193846,0.008643344510346651
5,-4.930903768539428,0.0,0.0067478386840472615,-0.003635589227390786,0.0,0.00014505630967202401,0.0,0.00014505630967202401,0,0.0,36000,-0.003538175338568787,373,1.0765613251351169e-05,0.027804637296746173,0.0015982244305542312,2.195271039009094,0.006747838808223605
6,-4.775430790583292,0.0,0.007879578523958724,-0.003300793682380269,0.0,0.00013379680895013734,0.0,0.00013379680895013734,3324.6666666666665,0.0,43200,-0.0032356828218325973,385,1.776389067345008e-05,0.03942211735993624,0.00229249855204682,2.1946094274520873,0.007879578539480766
7,-4.698415923118591,0.0,0.0070541739774247015,-0.0014515511322921763,0.0,1.1060533029194631e-05,0.0,1.1060533029194631e-05,3324.6666666666665,0.0,50400,-0.001493407207696388,392,1.0119176439123597e-05,0.026721577532589434,0.0018125825395580032,2.19516552289327,0.007054174303387602
8,-4.561934153238933,0.0,0.00831989807387193,-0.0017086927643201004,0.0,6.540452134705296e-05,0.0,6.540452134705296e-05,3324.6666666666665,0.0,57600,-0.0016436775641826293,399,8.540378504070152e-06,0.0214561744282643,0.0016889107011757642,2.1943232933680217,0.008319898508489132
9,-4.680512126286825,0.0,0.006552327238023281,-0.0024057801192005476,0.0,9.735754480667916e-05,0.0,9.735754480667916e-05,3324.6666666666665,0.0,64800,-0.002357439991707603,404,1.051252494714087e-05,0.029545180127024652,0.0015847123828062184,2.1954757928848267,0.006552327362199625
10,-4.269226169586181,0.0,0.0065557350559781,-0.0021369010326452555,0.0,6.744875615064909e-05,0.0,6.744875615064909e-05,3324.6666666666665,0.0,72000,-0.0021220621032019458,409,6.871227211983448e-06,0.022854473317662875,0.0011684110478264698,2.1954739650090533,0.006555735149110357
11,-4.38019372622172,0.0,0.007419662953664859,-0.002537696183814357,0.0,0.00021792368121775023,0.0,0.00021792368121775023,3324.6666666666665,0.0,79200,-0.002315741505784293,413,1.328645042046143e-05,0.03533450917651256,0.0017621600847636122,2.19497021039327,0.007419663124407331
12,-4.659403522809346,0.0,0.0066163946253558,-0.0004197523361350856,0.0,3.3036041028822186e-05,0.0,3.3036041028822186e-05,3324.375,0.0,86400,-0.00040762013001464464,416,3.894204799811026e-06,0.01866430453956127,0.0009081646488812131,2.195470182100932,0.006616394749532143
13,-4.7550069491068525,0.0,0.007211036793887615,-0.00024119501180190164,0.0,-1.3762096273239877e-06,0.0,-1.3762096273239877e-06,3324.375,0.0,93600,-0.00024307648266888766,418,4.433785632803241e-06,0.017007508346190057,0.0010661051030974894,2.195121248563131,0.007211037073284387
14,-4.196960322062174,0.0,0.006045764839897553,-0.0004289384172201001,0.0,5.345448418931179e-05,0.0,5.345448418931179e-05,3324.375,0.0,100800,-0.0003710459667975859,423,3.986740208953658e-06,0.01693894158427914,0.0012213782317846264,2.1957150379816692,0.006045764933029811
