PMM:episode_rewards,avg_q_retraced,fps,rollout_prob_std,avg_q_selected,P01:episode_rewards,policy_gradient_loss,model_prob_std,advantage_norm,policy_gradient_bias_correction,policy_entropy,q_loss,policy_loss,epoch_idx,explained_variance,grad_norm,P09:episode_rewards,frames,episode_length
0.0,-0.002411253135748363,476,0.04092372649659713,-0.003288590411830228,0.0,4.595067569728902e-05,0.040923726620773475,0.08923959396779538,0.0,2.1259373664855956,0.0008318278339478032,4.595067569728902e-05,1,-18.497404257456463,0.04706954809394423,0.0,7200,0
0.0,0.012282067312238116,220,0.05536116013924281,0.012529002564648787,0.0,-0.00010055720376840327,0.055361157686760025,0.11337094036862254,9.824235594595627e-12,2.013007366657257,0.0016987431758631526,-0.00010055719309699876,2,-125.38350921074549,0.10912490857931749,0.0,14400,0
0.0,0.005228343233466148,279,0.008817593349764745,0.0053041855959842605,0.0,-0.00012136725739158768,0.008817593318720658,0.01513997147170206,0.0,2.1941001494725545,9.453403125310918e-06,-0.00012136725739158768,3,-13.774984804789225,0.0020920857556886246,0.0,21600,0
0.0,0.003931746399030089,322,0.010949288448318838,0.003886475615824262,0.0,-7.906600093671538e-05,0.010949288494884968,0.04626080395343403,0.0,2.192337997754415,4.378571592648465e-05,-7.906600093671538e-05,4,-19.3050630569458,0.004510376180596142,0.0,28800,0
0.0,0.004699775320477784,348,0.009506984908754627,0.004698384654087325,0.0,-0.00011272938011946584,0.009506984675923983,0.02128904239895443,0.0,2.1934701681137083,1.4275680140940494e-05,-0.00011272938011946584,5,-12.98804063796997,0.0020745719064452594,0.0,36000,0
0.0,0.0035213198279961944,335,0.009890447976067663,0.003449619705012689,0.0,-9.891889637098454e-05,0.009890448100244005,0.03673996863265832,0.0,2.193069656689962,2.7874053139006112e-05,-9.891889637098454e-05,6,-10.34588130315145,0.003314306875489518,0.0,43200,3323.75
0.0,0.003559595540476342,340,0.007518216377745072,0.003593433671630919,0.0,-7.661819684775158e-05,0.007518216331178943,0.00693475310690701,0.0,2.194926071166992,2.537906628200896e-06,-7.661819684775158e-05,7,-23.44203987121582,0.0008399743754406035,0.0,50400,3323.75
0.0,0.004081120567085842,354,0.007680356471488873,0.004134515339198212,0.0,-9.29938952140219e-05,0.007680356424922745,0.008008393598720432,0.0,2.1948006629943846,2.017971358251695e-06,-9.29938952140219e-05,8,-12.96306552886963,0.0010779270788346816,0.0,57600,3323.75
0.0,0.002677112255090227,369,0.0078107434014479315,0.0027351554948836566,0.0,-5.790096460411102e-05,0.007810743541146318,0.0247359293513,0.0,2.1946884791056314,1.4200382179296866e-05,-5.790096460411102e-05,9,-7.496249373753866,0.001998326218168219,0.0,64800,3323.75
0.0,0.0025404431430312495,381,0.006467434236158928,0.002541478114047398,0.0,-5.628439206096421e-05,0.006467434205114841,0.01823077561954657,0.0,2.1953791697820026,1.0603262383312995e-05,-5.628439206096421e-05,10,-23.793539142608644,0.0015647923736911993,0.0,72000,3323.75
0.0,0.001897867831091086,391,0.008121245866641402,0.001927577017340809,0.0,-3.918006333757755e-05,0.008121245835597316,0.03792585518676787,0.0,2.1944422086079913,2.2861932053312253e-05,-3.918006333757755e-05,11,-7.668324772516886,0.002885233723043545,0.0,79200,3323.75
0.0,0.0014563503558747471,399,0.0042558392354597645,0.0014138824308853751,0.0,-4.7470691098775813e-05,0.004255839196654658,0.008733205481742818,0.0,2.196422251065572,2.8628378814232747e-06,-4.7470691098775813e-05,12,-10.049109601974488,0.0006760890315820274,0.0,86400,3324.0833333333335
0.0,0.002083491502950589,407,0.004073084828754266,0.00210456462809816,0.0,-4.2298352423131294e-05,0.004073084805471202,0.004238449937353532,0.0,2.1965423901875814,8.678678222887962e-07,-4.2298352423131294e-05,13,-23.274908455212913,0.0004277273340366821,0.0,93600,3324.0833333333335
0.0,0.001582385510361443,413,0.0036116100614890455,0.0016019368194974959,0.0,-3.864305394927214e-05,0.003611609968356788,0.005335504041674237,0.0,2.196688350041707,6.887068304687697e-07,-3.864305394927214e-05,14,-7.668071858088175,0.0004735986611215774,0.0,100800,3324.0833333333335
0.0,0.0010463175228020798,420,0.006308748689480126,0.001023876096587628,0.0,-2.2771919016880323e-05,0.006308748666197061,0.029623974848072977,0.0,2.1955533027648926,1.351722121446149e-05,-2.2771919016880323e-05,15,-13.942651096979777,0.0020921215868065354,0.0,108000,3324.0833333333335
0.0,0.0008771471795625985,427,0.00397921324086686,0.0008612135653190005,0.0,-2.0779128999492968e-05,0.003979213108929495,0.009916840241445849,0.0,2.1964762210845947,3.999315212273776e-06,-2.0779128999492968e-05,16,-15.197072728474934,0.0006859364492083175,0.0,115200,3324.0833333333335
0.0,0.0008012070469676809,426,0.009873377337842987,0.00082197218825631,0.0,-2.7071803006034946e-05,0.005778498496575695,0.028832292267378226,1.6779461057415684e-06,2.1957439733497686,1.3096695021174818e-05,-2.5393856965088863e-05,17,-9.954086364280611,0.001959704604117803,0.0,122400,3324.222222222222
0.0,0.0007337914460217618,420,0.01672830444263546,0.0007133395334803646,0.0,-1.061279501900394e-05,0.003356659629695714,0.011973717148531543,1.679360919047468e-06,2.1967504668361926,2.50975134346613e-06,-8.933434179106797e-06,18,-11.986195269438324,0.0006859157487301989,0.0,129600,3324.222222222222
0.0,0.0010016985170736602,416,0.012913298151417629,0.0010107832142936001,0.0,-3.060117318305837e-05,0.0031295707716995223,0.010721396836590775,-8.327643214440009e-07,2.196806668781099,1.9408686776550687e-06,-3.143393752539158e-05,19,-10.156636763959336,0.0005926373413533606,0.0,136800,3324.222222222222
0.0,0.0009317483154066071,412,0.012155907460455731,0.0009420638346783421,0.0,-2.0552869383665277e-05,0.0033848323366726706,0.011568558742527829,5.594331880207626e-07,2.1967416234653467,2.2191773910988e-06,-1.9993436058252617e-05,20,-8.343120265514761,0.0005820632709142477,0.0,144000,3324.222222222222
0.0,0.0002633842051626131,408,0.014563724466497277,0.0002957317135281627,0.0,-4.9817955572052896e-05,0.0033115255966056976,0.015769067588883988,-1.0685325420097503e-06,2.1967688897299387,1.3278451792550432e-05,-5.088648857657089e-05,21,-13.54045189471472,0.0005985936686345635,0.0,151200,3324.222222222222
0.0,0.00046673173901552446,406,0.013516696807256994,0.0004471265496454059,0.0,2.5109062556392507e-05,0.003267748540343727,0.014157137444849395,-2.609374963557418e-07,2.1967790647221626,9.448585864896505e-06,2.4848125224084306e-05,22,-11.798937491840785,0.0005616617183530778,0.0,158400,3324.222222222222
0.0,0.0008075827101152206,401,0.01337150853936605,0.0008239571571837625,0.0,-1.8779481123698794e-05,0.00270217544222423,0.0076645461229021775,-1.020867079482776e-07,2.1969191632321268,1.0177532788510796e-06,-1.8881567800197147e-05,23,-46.88209447991912,0.0003220802925652249,0.0,165600,3324.2916666666665
0.0,0.0006739222239550491,400,0.011768158915201351,0.0006799936395518238,0.0,-1.1862376396510938e-05,0.002554146174465247,0.005620216671565671,8.708340404522333e-07,2.1969580483815028,5.662534504329967e-07,-1.0991542427879565e-05,24,-72.00056145039815,0.00023881202416375412,0.0,172800,3324.2916666666665
0.0,0.0008316485352891806,397,0.009413555444331555,0.0008050750671550522,0.0,4.505591412460357e-05,0.002520938631487153,0.020438675964418045,6.93633875401779e-07,2.1969625099468484,3.2390579702631194e-05,4.574955202755634e-05,25,-91.56867667717593,0.0005723025966641558,0.0,180000,3324.2916666666665
0.0,0.0007619519170677651,395,0.012558905348017263,0.0007664230034517083,0.0,-1.861163623458207e-05,0.002681625344714756,0.0076711698905649155,1.7055260859416461e-07,2.1969298152223464,8.31989837435852e-07,-1.8441083578295548e-05,26,-11.535022395451866,0.00028528432528703924,0.0,187200,3324.2916666666665
0.0,0.0002698055867894124,393,0.01095813371692587,0.000305721570932891,0.0,-7.314917571272662e-05,0.0023570037940356925,0.013416299019326046,7.33292809642968e-07,2.196997856835209,1.7839430595211207e-05,-7.241587950592865e-05,27,-4717126911808.192,0.0003665463949751278,0.0,194400,3324.2916666666665
0.0,3.9046804319379e-06,390,0.011017456396871551,6.052872278090679e-06,0.0,-3.4639359059350203e-07,0.002559681882140616,0.0063668535369975476,4.492755878017881e-07,2.196954423753673,6.194368187788653e-07,1.0288197920091523e-07,28,-31.864504767359882,0.00022509191137927515,0.0,201600,3324.3333333333335
0.0,-0.00010504227067272234,388,0.011666056076976319,-9.76247895711266e-05,0.0,3.3254100877298597e-06,0.002430300121432757,0.004375819469013882,-3.092153495162977e-07,2.196984720933374,2.8620418444052113e-07,3.0161946974189172e-06,29,-inf,0.00015232807974493396,0.0,208800,3324.3333333333335
0.0,-0.00014539653553662576,385,0.010864470111450709,-0.00015370646061840747,0.0,4.713533234889964e-06,0.0024985644929653044,0.004154666257639836,-8.12514935180348e-07,2.196971888882773,2.7250789770641647e-07,3.9010182780249655e-06,30,-8.726029026946694,0.00014152522812026577,0.0,216000,3324.3333333333335
0.0,-5.0272151837932136e-05,385,0.009227472863997157,-4.4583552951316676e-05,0.0,9.831002366903854e-07,0.002539686687468063,0.004077791408700423,-1.364964332416384e-07,2.1969614144733978,2.9145759831139076e-07,8.46603797780759e-07,31,-91.11455678211318,0.00013651192696305416,0.0,223200,3324.3333333333335
