epoch_idx,avg_q_retraced,policy_gradient_bias_correction,P01:episode_rewards,rollout_prob_std,PMM:episode_rewards,policy_loss,episode_length,explained_variance,grad_norm,model_prob_std,frames,P09:episode_rewards,fps,policy_entropy,policy_gradient_loss,q_loss,advantage_norm,avg_q_selected
1,0.00015256378877287108,0.0,0.0,0.04450162450472514,0.0,3.1189074555489545e-05,0,-3.403264363606771,0.008468237132258897,0.04450162487725417,7200,0.0,540,2.1148748954137164,3.1189074555489545e-05,6.287081657016339e-05,0.07614258117973804,0.00010312903129185239
2,0.009079430360967915,1.0040456891828124e-12,0.0,0.046669129251192015,0.0,-3.024931502295658e-05,0,-4.375336106618246,0.05363897422781326,0.04666913030669093,14400,0.0,260,2.0596343596776325,-3.0249316963211945e-05,0.0010367575581616015,0.13966513847311338,0.008739209407940507
3,0.0022774608262504143,0.0,0.0,0.011507296438018481,0.0,-5.589171669271309e-05,0,-4.563943854967753,0.0019169165418801036,0.011507296779503426,21600,0.0,256,2.191627287864685,-5.589171669271309e-05,1.1243782076538385e-05,0.030041289577881495,0.0022836041481544573
4,0.0016329488794629772,0.0,0.0,0.014889078866690397,0.0,2.8437302898964844e-05,0,-4.907677841186524,0.002995296961019374,0.014889079083998998,28800,0.0,283,2.1881762742996216,2.8437302898964844e-05,2.4618908946649752e-05,0.0475887938713034,0.001553472321635733
5,0.002415528753772378,0.0,0.0,0.011581180027375619,0.0,5.746297483710805e-05,0,-4.484982291857402,0.0016169216173326792,0.011581180213640133,36000,0.0,310,2.19155744711558,5.746297483710805e-05,9.678598447256566e-06,0.026847011068214972,0.002286705612884058
6,0.001956322234279166,0.0,0.0,0.013175960878531139,0.0,-6.512610889330972e-05,3323.8333333333335,-4.625681980450948,0.0023171382393935708,0.013175960971663396,43200,0.0,332,2.1900760809580486,-6.512610889330972e-05,1.6817237049811714e-05,0.039320080541074276,0.0019920039669765782
7,0.002473035945634668,0.0,0.0,0.011540221919616064,0.0,-5.594683201100755e-05,3323.8333333333335,-3.975311215718587,0.0014315052244264488,0.011540221919616064,50400,0.0,349,2.191801349322001,-5.594683201100755e-05,5.0617096955344705e-06,0.022192973581453165,0.002469575464298638
8,0.004026520807140817,0.0,0.0,0.012735064141452312,0.0,-0.00019596853429296364,3323.8333333333335,-3.8675697445869446,0.001351764375621632,0.012735064513981343,57600,0.0,366,2.190530776977539,-0.00019596853429296364,4.460912259673933e-06,0.019531333291282257,0.004140588295801232
9,0.0014272177533712239,0.0,0.0,0.01147562162950635,0.0,-2.6799133782636393e-05,3323.8333333333335,-4.1934218565622965,0.0019366023934751606,0.011475621815770864,64800,0.0,378,2.191769599914551,-2.6799133782636393e-05,1.279763152221373e-05,0.032994171728690465,0.0014146532921586186
10,0.0019696014661652345,0.0,0.0,0.010130491511275371,0.0,-3.292175351816695e-05,3323.8333333333335,-4.202622564633687,0.0015691164290358478,0.010130491790672142,72000,0.0,390,2.192910011609395,-3.292175351816695e-05,9.187833908678537e-06,0.026172686585535607,0.001946266278415957
