policy_gradient_loss,PMM:episode_rewards,model_prob_std,policy_loss,explained_variance,episode_length,q_loss,advantage_norm,avg_q_retraced,P01:episode_rewards,fps,grad_norm,frames,P09:episode_rewards,avg_q_selected,policy_entropy,policy_gradient_bias_correction,rollout_prob_std,epoch_idx
0.00015416107792892337,0.0,0.03767146095633507,0.00015416107792892337,-16.486119969685873,0,0.0008401843862278232,0.08627708243827024,-0.009149738651467487,0.0,429,0.045747025407956714,7200,0.0,-0.009568075059602658,2.1340256849924724,0.0,0.03767146114259958,1
-0.0008629296552650582,0.0,0.07358092914024988,-0.0008629296397430153,-280.0579028526942,0,0.08009042922882752,0.1315865285694599,0.06329114919838806,0.0,201,1.8018799671585006,14400,0.0,0.06432375479489565,1.853598241508007,3.420403589989481e-11,0.0735809251666069,2
-5.816927060635635e-05,0.0,0.007852069257448116,-5.816927060635635e-05,-71.30515356063843,0,6.376025254818766e-05,0.01600400867561499,0.001752747590838529,0.0,244,0.006264478234251274,21600,0.0,0.0017848260557608833,2.1942301909128825,0.0,0.007852069071183602,3
3.2603133225469115e-05,0.0,0.011847582568104068,3.2603133225469115e-05,-12.87547942797343,0,3.941188915632665e-05,0.03678755952666203,-0.001229550622520037,0.0,273,0.004092947101370083,28800,0.0,-0.001181887371785706,2.191157563527425,0.0,0.011847582459449769,4
1.437566682322237e-05,0.0,0.007896690039585035,1.437566682322237e-05,-12.764811197916666,0,1.598374550061029e-05,0.019950585439801216,-0.0007452655903762206,0.0,286,0.002360942330055641,36000,0.0,-0.0007277037944732001,2.194337511062622,0.0,0.007896689837798477,5
2.3214265600775736e-05,0.0,0.009758685001482565,2.3214265600775736e-05,-22.965299638112388,3324.6666666666665,3.3453827002934605e-05,0.03102408777922392,-0.0009542964195134118,0.0,296,0.004157692484421928,43200,0.0,-0.0009600852977503867,2.192456007003784,0.0,0.009758685017004609,6
-5.64574381011577e-06,0.0,0.005415359806890289,-5.64574381011577e-06,-16.711052068074544,3324.6666666666665,7.80099836295752e-06,0.014609980986764033,0.0005254764376635043,0.0,307,0.0020139962556716554,50400,0.0,0.0004821704374383747,2.1959877888361614,0.0,0.00541535976032416,7
-3.202187046251007e-05,0.0,0.006940301228314638,-3.202187046251007e-05,-13.620684814453124,3324.6666666666665,5.9295405738642636e-06,0.012645244132727385,0.0010535300127230585,0.0,317,0.0017053079447544711,57600,0.0,0.001092290305920566,2.195221169789632,0.0,0.006940301274880767,8
-9.54495292167697e-07,0.0,0.007823434829091033,-9.54495292167697e-07,-7.477880477905273,3324.6666666666665,1.421734123899417e-05,0.02488374775275588,3.456400791037595e-05,0.0,325,0.0020570661470498868,64800,0.0,-4.371326516168968e-06,2.194516166051229,0.0,0.007823434844613075,9
5.043685714175202e-06,0.0,0.007417200459167361,5.043685714175202e-06,-10.377979675928751,3324.6666666666665,1.1203704715020042e-05,0.019194493846346933,-0.0003138222047406695,0.0,332,0.0016136553255394438,72000,0.0,-0.00032796266030648744,2.1947586218516033,0.0,0.007417200474689404,10
2.0360258705901894e-05,0.0,0.010141037901242574,2.0360258705901894e-05,-7.592047866185506,3324.6666666666665,2.1289931548077828e-05,0.031843453583618,-0.0008530493675304266,0.0,338,0.0026289852844179826,79200,0.0,-0.0008373354890257663,2.192768343289693,0.0,0.010141037808110317,11
-1.1045358832006968e-05,0.0,0.005062782888611158,-1.1045358832006968e-05,-16.957386350631715,3325.0416666666665,6.128402606009331e-06,0.012608227754632632,0.00033519040680403124,0.0,343,0.0011781518059810964,86400,0.0,0.00040961272000762016,2.1960342725118003,0.0,0.005062782966221372,12
-3.116624649616521e-05,0.0,0.005760772231345375,-3.116624649616521e-05,-13.624548133214315,3325.0416666666665,3.5521137040935476e-06,0.010625341798489292,0.0015051611398424333,0.0,347,0.0011257373966314917,93600,0.0,0.00155953979313684,2.195837664604187,0.0,0.005760772246867418,13
-1.8921508259002926e-05,0.0,0.0051351087478299935,-1.8921508259002926e-05,-9.978583637873331,3325.0416666666665,3.231738651265914e-06,0.010805097750077645,0.0006622667210952689,0.0,351,0.0008326533794201296,100800,0.0,0.0007047372816790206,2.1961314757665,0.0,0.005135108763352036,14
1.5637686346773685e-05,0.0,0.009338969302674135,1.5637686346773685e-05,-6.526972548166911,3325.0416666666665,1.461786357594974e-05,0.02888815865541498,-0.0010143658677407076,0.0,355,0.0020360735378827585,108000,0.0,-0.001032501581479058,2.1935839970906574,0.0,0.009338969318196177,15
-2.283855891012839e-06,0.0,0.005831890848154823,-2.283855891012839e-06,-8.285109853744506,3325.0416666666665,4.238699593391478e-06,0.011943088208014766,0.00011357089612526275,0.0,360,0.0008544680414517752,115200,0.0,0.000107475058818333,2.195673402150472,0.0,0.005831890848154823,16
-9.116253137951464e-06,0.0,0.009090761471565605,-7.81129878936958e-06,-6.934183364576764,3325.0833333333335,1.1972315415233779e-05,0.026546896460673045,-0.00011620795764530258,0.0,360,0.001824310731377334,122400,0.0,-0.00011420910345198841,2.19374112493462,1.304954361671662e-06,0.01342196123765057,17
5.846953291094625e-07,0.0,0.006758891252533498,5.106126189723057e-06,-6.008174767311289,3325.0833333333335,3.7305903775958657e-06,0.013646122803720621,-0.0002678819545388301,0.0,354,0.0008361789871284314,129600,0.0,-0.0002640992722820282,2.195346277523293,4.521430968458944e-06,0.02059916209374067,18
4.037939056634056e-06,0.0,0.007235019567795837,6.120302250243708e-06,-5.305525142257177,3325.0833333333335,2.897314216436515e-06,0.012150336937786688,-0.00031646513261269626,0.0,349,0.0007262836569435158,136800,0.0,-0.00032535937945405227,2.1950805856689573,2.0823632308681757e-06,0.015898235096865967,19
1.0051601017781171e-05,0.0,0.0074965431927407665,1.0859116294788748e-05,-5.54874075221637,3325.0833333333335,2.3304540524673175e-06,0.011038024987386066,-0.0006428732945231975,0.0,346,0.0005890568256342847,144000,0.0,-0.0006654915169461414,2.1949342631252984,8.075153406552874e-07,0.016408917273705203,20
1.8778895836670533e-05,0.0,0.007956544679649262,1.582329301545507e-05,-5.702199375516467,3325.0833333333335,2.351579520048349e-06,0.01076799369954131,-0.0007931050777746654,0.0,343,0.0005679791074250089,151200,0.0,-0.0008055348093905051,2.194645946387949,-2.9556028784474737e-06,0.016787061540884992,21
1.8767803128903512e-05,0.0,0.008222736818346359,1.682028581901776e-05,-4.352323084445228,3325.0833333333335,2.190288647053676e-06,0.010920592548588053,-0.0008234269777832586,0.0,340,0.000513363937690329,158400,0.0,-0.0008256513333767615,2.1944687874733457,-1.94751725472719e-06,0.01602272104244635,22
1.1609381006279376e-05,0.0,0.007703407788076364,1.0840139124160073e-05,-5.971183774351444,3324.7916666666665,1.192824948091585e-06,0.007596754767907668,-0.0004391752534186626,0.0,339,0.0003571622449161448,165600,0.0,-0.0004500351485582045,2.194816697489017,-7.692419098607319e-07,0.014410054682490351,23
